Folder,VGG19 Accuracy,ResNet50 Accuracy,MobileNetV3 Accuracy,InceptionV3 Accuracy
"screen, crt screen",0.16,0.16,0.12,0.18
velvet,0.12,0.14,0.16,0.22
monitor,0.1,0.28,0.18,0.28
tiger cat,0.26,0.16,0.22,0.26
windsor tie,0.2,0.2,0.22,0.32
"letter opener, paper knife, paperknife",0.22,0.18,0.3,0.26
water jug,0.1,0.28,0.26,0.32
"laptop, laptop computer",0.26,0.28,0.26,0.16
cassette player,0.22,0.28,0.22,0.26
"hook, claw",0.28,0.2,0.22,0.34
"spotlight, spot",0.28,0.26,0.24,0.26
"notebook, notebook computer",0.26,0.12,0.18,0.5
overskirt,0.22,0.2,0.32,0.32
"chiffonier, commode",0.22,0.2,0.34,0.36
"night snake, hypsiglena torquata",0.26,0.24,0.3,0.34
"sidewinder, horned rattlesnake, crotalus cerastes",0.2,0.26,0.34,0.34
"sunglasses, dark glasses, shades",0.24,0.2,0.3,0.42
spatula,0.16,0.24,0.34,0.46
screwdriver,0.22,0.26,0.32,0.42
dough,0.2,0.3,0.36,0.38
english foxhound,0.4,0.3,0.2,0.34
"sunscreen, sunblock, sun blocker",0.18,0.34,0.24,0.48
"loupe, jeweler's loupe",0.26,0.26,0.24,0.5
"cleaver, meat cleaver, chopper",0.24,0.26,0.28,0.5
tape player,0.22,0.28,0.42,0.42
"flute, transverse flute",0.28,0.32,0.3,0.44
ladle,0.2,0.32,0.32,0.5
"wool, woolen, woollen",0.28,0.34,0.34,0.38
"backpack, back pack, knapsack, packsack, rucksack, haversack",0.28,0.28,0.42,0.42
"bakery, bakeshop, bakehouse",0.28,0.28,0.38,0.48
space bar,0.42,0.24,0.3,0.46
sweatshirt,0.26,0.38,0.38,0.4
hair spray,0.24,0.36,0.32,0.52
cup,0.36,0.36,0.34,0.44
"academic gown, academic robe, judge's robe",0.38,0.36,0.34,0.44
car wheel,0.34,0.36,0.4,0.44
"barn spider, araneus cavaticus",0.34,0.32,0.44,0.46
mushroom,0.4,0.42,0.34,0.4
sliding door,0.34,0.36,0.46,0.4
"mouse, computer mouse",0.26,0.34,0.42,0.56
eggnog,0.36,0.36,0.42,0.48
hair slide,0.44,0.26,0.44,0.48
sunglass,0.26,0.42,0.42,0.52
"breastplate, aegis, egis",0.4,0.38,0.44,0.4
"seashore, coast, seacoast, sea-coast",0.4,0.42,0.44,0.36
cd player,0.34,0.36,0.56,0.38
cradle,0.26,0.5,0.48,0.4
"suit, suit of clothes",0.32,0.34,0.42,0.56
"tobacco shop, tobacconist shop, tobacconist",0.3,0.34,0.44,0.56
"lens cap, lens cover",0.36,0.38,0.44,0.48
muzzle,0.26,0.34,0.44,0.62
"rock python, rock snake, python sebae",0.3,0.3,0.46,0.6
"spider monkey, ateles geoffroyi",0.32,0.48,0.4,0.46
weasel,0.38,0.44,0.42,0.44
australian terrier,0.38,0.42,0.38,0.5
missile,0.48,0.38,0.48,0.36
printer,0.36,0.38,0.38,0.58
"tailed frog, bell toad, ribbed toad, tailed toad, ascaphus trui",0.42,0.34,0.38,0.56
wine bottle,0.36,0.42,0.44,0.5
pole,0.4,0.38,0.52,0.44
"assault rifle, assault gun",0.48,0.44,0.48,0.36
"microphone, mike",0.36,0.48,0.4,0.52
water bottle,0.38,0.4,0.46,0.52
"green lizard, lacerta viridis",0.44,0.5,0.4,0.44
plate,0.4,0.42,0.48,0.48
"toilet tissue, toilet paper, bathroom tissue",0.3,0.54,0.42,0.52
plastic bag,0.4,0.36,0.5,0.54
yorkshire terrier,0.38,0.38,0.44,0.62
"beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon",0.46,0.32,0.56,0.48
"frying pan, frypan, skillet",0.38,0.44,0.48,0.52
vase,0.4,0.38,0.54,0.5
wok,0.32,0.44,0.52,0.54
power drill,0.44,0.34,0.44,0.62
crutch,0.38,0.48,0.46,0.52
envelope,0.4,0.36,0.58,0.52
toy poodle,0.34,0.38,0.56,0.58
buckle,0.36,0.5,0.46,0.54
bulletproof vest,0.38,0.42,0.5,0.56
"chocolate sauce, chocolate syrup",0.38,0.46,0.48,0.54
"ear, spike, capitulum",0.38,0.46,0.5,0.52
beaker,0.4,0.46,0.44,0.58
soup bowl,0.34,0.42,0.52,0.6
